Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_directional	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
B-5.1	8261183.0	1918932.0	0.0	89024633.0	7505655.0	147130414.0	7486099.0	46.7626113892	66.3	1.6	93.1	0.0	0.0	directional	4126843.0	4134340.0	758729865.0	17666214.0	45343247.0	458771917.0	10953999.0
B-6.1	3556897.0	803058.0	0.0	40710428.0	3432149.0	68612997.0	3325757.0	46.2793427597	66.2	1.7	93.2	0.0	0.0	directional	1775133.0	1781764.0	341318464.0	7685712.0	20765558.0	202817140.0	4980192.0
B-7.1	2085369.0	637981.0	0.0	13040614.0	1239504.0	22571499.0	1127867.0	54.148312079	64.0	1.7	91.4	0.0	0.0	directional	1042795.0	1042574.0	118580998.0	3851217.0	7346122.0	72251784.0	2131475.0
B-8.1	2181296.0	652121.0	0.0	14085917.0	1328937.0	24811843.0	1169583.0	54.4915313515	63.6	1.7	91.3	0.0	0.0	directional	1091189.0	1090107.0	127956308.0	4003000.0	8056039.0	77299736.0	2373836.0
B-9.1	2112325.0	631789.0	0.0	13714742.0	1281941.0	24076723.0	1146494.0	54.2929279948	63.6	1.7	91.2	0.0	0.0	directional	1056221.0	1056104.0	124462433.0	3890608.0	7837901.0	75239003.0	2312123.0
C-1.1	9654720.0	2398557.0	0.0	107368620.0	8944099.0	180005764.0	6919184.0	50.8880740353	65.5	1.6	92.3	0.0	0.0	directional	4821652.0	4833068.0	924193420.0	18972461.0	56640215.0	556165143.0	15069579.0
C-10.1	15926205.0	5266204.0	0.0	100271271.0	10676352.0	174252850.0	8376451.0	53.861410281	63.3	1.9	90.6	0.0	0.0	directional	7965548.0	7960657.0	918786568.0	29568860.0	58177000.0	557264979.0	18144116.0
C-11.1	16283666.0	5377752.0	0.0	102578855.0	10814580.0	178538727.0	8606443.0	53.7985356811	63.3	1.9	90.6	0.0	0.0	directional	8139083.0	8144583.0	940791692.0	30267861.0	59559728.0	570739452.0	18560350.0
C-12.1	16217316.0	5346822.0	0.0	102505661.0	10789083.0	178786459.0	8204806.0	54.4772968769	63.3	1.9	90.6	0.0	0.0	directional	8107689.0	8109627.0	941067800.0	29768944.0	59522881.0	570896243.0	18567473.0
C-13.1	12071018.0	4000991.0	0.0	77802545.0	7213752.0	138095236.0	5974289.0	54.7530383559	63.2	1.6	90.7	0.0	0.0	directional	6037358.0	6033660.0	713497024.0	22046298.0	45386568.0	430831195.0	14167728.0
C-14.1	11937937.0	3984250.0	0.0	75818377.0	6947670.0	133786657.0	6231983.0	53.8857334759	63.2	1.6	90.6	0.0	0.0	directional	5966568.0	5971369.0	692600530.0	22154170.0	44064044.0	418177204.0	13806578.0
C-15.1	19778851.0	6553195.0	0.0	126622252.0	11713984.0	221849677.0	10121276.0	54.2580207093	63.2	1.6	90.5	0.0	0.0	directional	9886998.0	9891853.0	1159536084.0	36453322.0	73764909.0	702302823.0	23282439.0
C-16.1	11344608.0	3747904.0	0.0	73970094.0	6825148.0	131046307.0	5732128.0	54.4768505002	63.2	1.6	90.7	0.0	0.0	directional	5670510.0	5674098.0	677572429.0	20824640.0	43137864.0	409126154.0	13466862.0
C-17.1	16189687.0	5454486.0	0.0	101884114.0	10767789.0	179756705.0	8030461.0	54.557326638	63.3	1.9	90.8	0.0	0.0	directional	8095342.0	8094345.0	933260394.0	29674634.0	59071813.0	563567644.0	18212329.0
C-18.1	15424847.0	5227708.0	0.0	95562996.0	10182252.0	167529435.0	7730300.0	54.345649865	63.3	1.9	90.7	0.0	0.0	directional	7707713.0	7717134.0	876468575.0	28382855.0	55390815.0	530598744.0	17204333.0
C-19.1	15054932.0	5106591.0	0.0	92390650.0	9906513.0	161352453.0	7737413.0	53.9623876696	63.3	1.9	90.6	0.0	0.0	directional	7530659.0	7524273.0	846867141.0	27898936.0	53573391.0	512948105.0	16696029.0
C-2.1	9576132.0	2371231.0	0.0	106628545.0	8836800.0	179303661.0	6878317.0	50.8673896507	65.4	1.6	92.3	0.0	0.0	directional	4781019.0	4795113.0	917818948.0	18825680.0	56360956.0	551671737.0	15017249.0
C-20.1	14700242.0	4981886.0	0.0	90488397.0	9769836.0	158193931.0	7592901.0	53.896338662	63.3	1.9	90.6	0.0	0.0	directional	7350568.0	7349674.0	831019514.0	27275029.0	52528689.0	503659453.0	16379208.0
C-21.1	44286537.0	14697238.0	0.0	282669928.0	26616568.0	498932424.0	21076381.0	55.3165759507	63.3	1.7	90.6	0.0	0.0	directional	22142733.0	22143804.0	2586656027.0	80060156.0	164210464.0	1562711952.0	51514691.0
C-3.1	16748795.0	4115785.0	0.0	191572797.0	15935538.0	323434150.0	10920514.0	52.6938665023	65.5	1.6	92.4	0.0	0.0	directional	8363103.0	8385692.0	1640932404.0	31785094.0	101009377.0	982240104.0	26740438.0
C-4.1	9905098.0	2440394.0	0.0	106659891.0	8904841.0	176836559.0	7403187.0	50.155749658	65.4	1.6	92.1	0.0	0.0	directional	4946488.0	4958610.0	927946428.0	19748679.0	56463150.0	563916362.0	15165625.0
C-5.1	9379093.0	2338071.0	0.0	100868615.0	8362680.0	167320243.0	7014748.0	50.0701316555	65.4	1.5	92.1	0.0	0.0	directional	4686535.0	4692558.0	876723461.0	18731912.0	53288426.0	532613499.0	14269998.0
C-6.1	3653814.0	895776.0	0.0	41727819.0	3461900.0	70869460.0	2620197.0	50.961262866	65.3	1.6	92.3	0.0	0.0	directional	1825256.0	1828558.0	357492185.0	7169787.0	22165264.0	213334045.0	5933697.0
C-7.1	1836975.0	614506.0	0.0	11360974.0	1056191.0	19649661.0	954688.0	53.9308237495	63.4	1.6	90.6	0.0	0.0	directional	918813.0	918162.0	104688406.0	3406169.0	6565220.0	64020604.0	2035756.0
C-8.1	1943845.0	640451.0	0.0	12427432.0	1142313.0	21940095.0	1015225.0	54.0028798276	63.0	1.6	90.6	0.0	0.0	directional	971580.0	972265.0	114471050.0	3599521.0	7301478.0	69374473.0	2285259.0
C-9.1	2050924.0	674650.0	0.0	13165908.0	1203612.0	23140161.0	1079384.0	53.901357124	63.0	1.6	90.5	0.0	0.0	directional	1024752.0	1026172.0	121216032.0	3804958.0	7732129.0	73542161.0	2432061.0
D-1.1	8295559.0	1930299.0	0.0	91551048.0	8200688.0	155715013.0	6485550.0	49.6400961547	65.6	1.7	93.3	0.0	0.0	directional	4138598.0	4156961.0	785039322.0	16711408.0	48099036.0	470331615.0	11141922.0
D-10.1	18895069.0	5792386.0	0.0	118153420.0	12147361.0	208930716.0	9818256.0	54.7592513019	62.7	1.8	91.1	0.0	0.0	directional	9444631.0	9450438.0	1092644435.0	34505711.0	70407283.0	662592778.0	20412877.0
D-11.1	19397637.0	5939563.0	0.0	121350436.0	12512977.0	214734690.0	10144055.0	54.6700983378	62.7	1.8	91.1	0.0	0.0	directional	9700381.0	9697256.0	1122100771.0	35481255.0	72228542.0	680405606.0	20868520.0
D-12.1	19107299.0	5840296.0	0.0	119898422.0	12427055.0	212577111.0	9596102.0	55.3134165113	62.7	1.8	91.2	0.0	0.0	directional	9552228.0	9555071.0	1110308365.0	34543697.0	71380429.0	673469366.0	20555982.0
D-13.1	13589901.0	4157609.0	0.0	86738865.0	8285045.0	156167411.0	6806452.0	55.3470800354	62.6	1.7	91.3	0.0	0.0	directional	6795638.0	6794263.0	803918732.0	24553962.0	51896934.0	486011544.0	14818933.0
D-14.1	13482581.0	4159995.0	0.0	84750749.0	8000050.0	151678346.0	7123565.0	54.4395713486	62.6	1.7	91.3	0.0	0.0	directional	6741204.0	6741377.0	782480869.0	24766141.0	50553446.0	472968912.0	14529366.0
D-15.1	18444868.0	5634682.0	0.0	117183977.0	11151763.0	208820570.0	9459316.0	54.9955028295	62.6	1.7	91.2	0.0	0.0	directional	9225641.0	9219227.0	1082761678.0	33538866.0	69931603.0	655445505.0	20228260.0
D-16.1	13122347.0	3988406.0	0.0	84787063.0	8054390.0	152607860.0	6696363.0	55.1194315179	62.6	1.7	91.3	0.0	0.0	directional	6563938.0	6558409.0	784519077.0	23807116.0	50713899.0	473866744.0	14489121.0
D-17.1	18721404.0	5852531.0	0.0	116618472.0	11949162.0	209284110.0	9267818.0	55.3204321301	62.7	1.8	91.3	0.0	0.0	directional	9359814.0	9361590.0	1079133316.0	33841753.0	69519081.0	651820843.0	19941648.0
D-18.1	18117419.0	5706108.0	0.0	111174904.0	11468158.0	198395903.0	9029831.0	55.1463232465	62.7	1.8	91.2	0.0	0.0	directional	9063303.0	9054116.0	1029549426.0	32853358.0	66180175.0	623267400.0	19062886.0
D-19.1	17792294.0	5604920.0	0.0	108205391.0	11245201.0	192329285.0	9074911.0	54.7925151187	62.7	1.8	91.2	0.0	0.0	directional	8897340.0	8894954.0	1000811881.0	32472125.0	64388887.0	605994918.0	18648199.0
D-2.1	8177926.0	1897395.0	0.0	90384012.0	8052407.0	154233703.0	6440975.0	49.5142857696	65.5	1.7	93.3	0.0	0.0	directional	4081234.0	4096692.0	774990981.0	16516296.0	47611939.0	463663058.0	11045862.0
D-20.1	17306810.0	5455063.0	0.0	105602724.0	11050631.0	187904117.0	8816861.0	54.8052686343	62.7	1.8	91.2	0.0	0.0	directional	8656588.0	8650222.0	978798692.0	31578734.0	62905022.0	593161508.0	18174690.0
D-21.1	27365038.0	8352188.0	0.0	174033601.0	16429579.0	311993470.0	13759162.0	55.3092881396	62.4	1.6	91.2	0.0	0.0	directional	13686390.0	13678648.0	1621365593.0	49476388.0	104913176.0	983818499.0	30177268.0
D-3.1	16609113.0	3865617.0	0.0	187504996.0	16649708.0	320810584.0	12243702.0	50.7637804892	65.5	1.7	93.4	0.0	0.0	directional	8293967.0	8315146.0	1599399682.0	32718432.0	98619408.0	953046514.0	22768472.0
D-4.1	9236233.0	2134603.0	0.0	99036535.0	8862749.0	166711801.0	7214466.0	49.6964375397	65.5	1.7	93.2	0.0	0.0	directional	4612282.0	4623951.0	857999031.0	18585302.0	52232990.0	518918494.0	12236462.0
D-5.1	8805815.0	2054661.0	0.0	94289595.0	8406460.0	158650704.0	6848299.0	49.7257150763	65.5	1.7	93.2	0.0	0.0	directional	4399577.0	4406238.0	815903096.0	17708775.0	49625192.0	493319513.0	11611632.0
D-6.1	3498385.0	812161.0	0.0	39276498.0	3540883.0	67524439.0	2840602.0	48.9206068732	65.4	1.7	93.3	0.0	0.0	directional	1747876.0	1750509.0	335245646.0	7151148.0	20761196.0	199291508.0	4851122.0
D-7.1	2001945.0	620498.0	0.0	12294667.0	1175172.0	21610638.0	1059184.0	54.3766383721	62.8	1.7	91.3	0.0	0.0	directional	1002879.0	999066.0	114270833.0	3681627.0	7278935.0	69859728.0	2051693.0
D-8.1	2222315.0	677760.0	0.0	14064172.0	1330714.0	25187636.0	1176094.0	54.5196972942	62.4	1.6	91.2	0.0	0.0	directional	1110911.0	1111404.0	130871457.0	4076169.0	8470211.0	79385245.0	2433479.0
D-9.1	2439326.0	736984.0	0.0	15526535.0	1456795.0	27688179.0	1302212.0	54.4672103877	62.4	1.6	91.1	0.0	0.0	directional	1219107.0	1220219.0	144323449.0	4478522.0	9344069.0	87614884.0	2692987.0
E-1.1	7195102.0	1586620.0	2.0	71103785.0	6311539.0	114181122.0	4604484.0	53.7501215804	63.9	1.5	91.7	0.0	0.0	directional	3597113.0	3597987.0	668249741.0	13386206.0	40231797.0	426100343.0	10321155.0
E-10.1	21477719.0	6698047.0	0.0	133076430.0	13425282.0	238634982.0	11335622.0	54.3583004475	61.4	1.8	90.1	0.0	0.0	directional	10744205.0	10733514.0	1248020215.0	39511388.0	83794225.0	752727668.0	26361628.0
E-11.1	21652057.0	6751645.0	0.0	133967448.0	13483591.0	240303551.0	11495892.0	54.2663592015	61.4	1.7	90.1	0.0	0.0	directional	10835863.0	10816194.0	1256962566.0	39899594.0	84268522.0	758514906.0	26424548.0
E-12.1	21481837.0	6685493.0	0.0	133260686.0	13498932.0	239318805.0	10954886.0	54.909560849	61.4	1.8	90.1	0.0	0.0	directional	10746746.0	10735091.0	1251990261.0	39122216.0	83852120.0	755823198.0	26236520.0
